protein1,protein2,combined_score
9606.ENSP00000000233,9606.ENSP00000317272,347
9606.ENSP00000001008,9606.ENSP00000354558,961
9606.ENSP00000001008,9606.ENSP00000275493,370
9606.ENSP00000001008,9606.ENSP00000362680,543
9606.ENSP00000002829,9606.ENSP00000261937,316
9606.ENSP00000002829,9606.ENSP00000282397,329
9606.ENSP00000002829,9606.ENSP00000263923,374
9606.ENSP00000002829,9606.ENSP00000350896,522
9606.ENSP00000002829,9606.ENSP00000317272,422
9606.ENSP00000003084,9606.ENSP00000499900,361
9606.ENSP00000003084,9606.ENSP00000428924,364
9606.ENSP00000003084,9606.ENSP00000269571,306
9606.ENSP00000003084,9606.ENSP00000275493,408
9606.ENSP00000003084,9606.ENSP00000354558,378
9606.ENSP00000003084,9606.ENSP00000362680,416
9606.ENSP00000003100,9606.ENSP00000393312,338
9606.ENSP00000005178,9606.ENSP00000354558,408
9606.ENSP00000005257,9606.ENSP00000346671,328
9606.ENSP00000005257,9606.ENSP00000275493,524
9606.ENSP00000005257,9606.ENSP00000354558,438
9606.ENSP00000005257,9606.ENSP00000302486,489
9606.ENSP00000005257,9606.ENSP00000269571,437
9606.ENSP00000005257,9606.ENSP00000317272,409
9606.ENSP00000005257,9606.ENSP00000263967,405
9606.ENSP00000005257,9606.ENSP00000419260,304
9606.ENSP00000005257,9606.ENSP00000362680,874
9606.ENSP00000005257,9606.ENSP00000262948,330
9606.ENSP00000005260,9606.ENSP00000393312,332
9606.ENSP00000005260,9606.ENSP00000263967,474
9606.ENSP00000005260,9606.ENSP00000275493,317
9606.ENSP00000005340,9606.ENSP00000361423,363
9606.ENSP00000005340,9606.ENSP00000346671,529
9606.ENSP00000005340,9606.ENSP00000302486,391
9606.ENSP00000005340,9606.ENSP00000362680,577
9606.ENSP00000005386,9606.ENSP00000354558,547
9606.ENSP00000005587,9606.ENSP00000477713,767
9606.ENSP00000005587,9606.ENSP00000346671,896
9606.ENSP00000005587,9606.ENSP00000362680,640
9606.ENSP00000005587,9606.ENSP00000428924,781
9606.ENSP00000006053,9606.ENSP00000275493,379
9606.ENSP00000006053,9606.ENSP00000282397,314
9606.ENSP00000006053,9606.ENSP00000269571,339
9606.ENSP00000006053,9606.ENSP00000362680,661
9606.ENSP00000006053,9606.ENSP00000263923,330
9606.ENSP00000008938,9606.ENSP00000483570,476
9606.ENSP00000009041,9606.ENSP00000269571,339
9606.ENSP00000009530,9606.ENSP00000483570,343
9606.ENSP00000009530,9606.ENSP00000317272,524
9606.ENSP00000009530,9606.ENSP00000362680,318
9606.ENSP00000009530,9606.ENSP00000373700,570
9606.ENSP00000009530,9606.ENSP00000477713,336
9606.ENSP00000009530,9606.ENSP00000275493,436
9606.ENSP00000009530,9606.ENSP00000288135,389
9606.ENSP00000009530,9606.ENSP00000499900,318
9606.ENSP00000009530,9606.ENSP00000428924,326
9606.ENSP00000009530,9606.ENSP00000257290,302
9606.ENSP00000009530,9606.ENSP00000269571,373
9606.ENSP00000011619,9606.ENSP00000317272,716
9606.ENSP00000011619,9606.ENSP00000362680,389
9606.ENSP00000011653,9606.ENSP00000477713,999
9606.ENSP00000011653,9606.ENSP00000302486,371
9606.ENSP00000011653,9606.ENSP00000275493,640
9606.ENSP00000011653,9606.ENSP00000282397,436
9606.ENSP00000011653,9606.ENSP00000354558,635
9606.ENSP00000011653,9606.ENSP00000346671,980
9606.ENSP00000011653,9606.ENSP00000261937,354
9606.ENSP00000011653,9606.ENSP00000432511,738
9606.ENSP00000011653,9606.ENSP00000288135,778
9606.ENSP00000011653,9606.ENSP00000257290,433
9606.ENSP00000011653,9606.ENSP00000428924,700
9606.ENSP00000011653,9606.ENSP00000499900,740
9606.ENSP00000011653,9606.ENSP00000361423,525
9606.ENSP00000011653,9606.ENSP00000269571,676
9606.ENSP00000011653,9606.ENSP00000419260,454
9606.ENSP00000011653,9606.ENSP00000263967,396
9606.ENSP00000011653,9606.ENSP00000483570,657
9606.ENSP00000011653,9606.ENSP00000371067,635
9606.ENSP00000011653,9606.ENSP00000317272,409
9606.ENSP00000011653,9606.ENSP00000373700,563
