protein1,protein2,combined_score
9606.ENSP00000188790,9606.ENSP00000346839,705
9606.ENSP00000212015,9606.ENSP00000354558,937
9606.ENSP00000212015,9606.ENSP00000495360,902
9606.ENSP00000212015,9606.ENSP00000216117,733
9606.ENSP00000212015,9606.ENSP00000297494,841
9606.ENSP00000212015,9606.ENSP00000437955,927
9606.ENSP00000212015,9606.ENSP00000360266,927
9606.ENSP00000216037,9606.ENSP00000262947,781
9606.ENSP00000216037,9606.ENSP00000437955,988
9606.ENSP00000216037,9606.ENSP00000307235,909
9606.ENSP00000216037,9606.ENSP00000401303,772
9606.ENSP00000216117,9606.ENSP00000297494,770
9606.ENSP00000216117,9606.ENSP00000212015,733
9606.ENSP00000216117,9606.ENSP00000360266,798
9606.ENSP00000216117,9606.ENSP00000437955,701
9606.ENSP00000216181,9606.ENSP00000464087,892
9606.ENSP00000216181,9606.ENSP00000458162,978
9606.ENSP00000219070,9606.ENSP00000269571,738
9606.ENSP00000219070,9606.ENSP00000364979,821
9606.ENSP00000219070,9606.ENSP00000308208,997
9606.ENSP00000219070,9606.ENSP00000495360,803
9606.ENSP00000219070,9606.ENSP00000264498,802
9606.ENSP00000219070,9606.ENSP00000223095,755
9606.ENSP00000219070,9606.ENSP00000379350,755
9606.ENSP00000219070,9606.ENSP00000282397,731
9606.ENSP00000219070,9606.ENSP00000306512,814
9606.ENSP00000219070,9606.ENSP00000261023,835
9606.ENSP00000219070,9606.ENSP00000362680,972
9606.ENSP00000219070,9606.ENSP00000346032,826
9606.ENSP00000219070,9606.ENSP00000352798,960
9606.ENSP00000219070,9606.ENSP00000346839,756
9606.ENSP00000219070,9606.ENSP00000356954,839
9606.ENSP00000219070,9606.ENSP00000437955,731
9606.ENSP00000219070,9606.ENSP00000353654,783
9606.ENSP00000219070,9606.ENSP00000225831,704
9606.ENSP00000219070,9606.ENSP00000457421,750
9606.ENSP00000219070,9606.ENSP00000317272,703
9606.ENSP00000219070,9606.ENSP00000260356,985
9606.ENSP00000222145,9606.ENSP00000378015,754
9606.ENSP00000222747,9606.ENSP00000434034,997
9606.ENSP00000222747,9606.ENSP00000495811,997
9606.ENSP00000223095,9606.ENSP00000306512,736
9606.ENSP00000223095,9606.ENSP00000219070,755
9606.ENSP00000223095,9606.ENSP00000312652,851
9606.ENSP00000223095,9606.ENSP00000264498,741
9606.ENSP00000223095,9606.ENSP00000260356,819
9606.ENSP00000223095,9606.ENSP00000346032,790
9606.ENSP00000223095,9606.ENSP00000346839,790
9606.ENSP00000223095,9606.ENSP00000356954,819
9606.ENSP00000223095,9606.ENSP00000225831,918
9606.ENSP00000225831,9606.ENSP00000499900,781
9606.ENSP00000225831,9606.ENSP00000219070,704
9606.ENSP00000225831,9606.ENSP00000312652,769
9606.ENSP00000225831,9606.ENSP00000264498,732
9606.ENSP00000225831,9606.ENSP00000223095,918
9606.ENSP00000225831,9606.ENSP00000362179,737
9606.ENSP00000225831,9606.ENSP00000275493,725
9606.ENSP00000225831,9606.ENSP00000282397,791
9606.ENSP00000225831,9606.ENSP00000306512,999
9606.ENSP00000225831,9606.ENSP00000362680,733
9606.ENSP00000225831,9606.ENSP00000360266,980
9606.ENSP00000225831,9606.ENSP00000263923,758
9606.ENSP00000225831,9606.ENSP00000369375,713
9606.ENSP00000225831,9606.ENSP00000346839,723
