adr_id,adr_term,source
C0000729,Abdominal cramps,SIDER
C0000737,Abdominal pain,SIDER
C0687713,Gastrointestinal pain,SIDER
C0002418,Amblyopia,SIDER
C0002871,Anaemia,SIDER
C0003123,Anorexia,SIDER
C0232462,Decreased appetite,SIDER
C0003467,Anxiety,SIDER
C0003811,Arrhythmia,SIDER
C0004093,Asthenia,SIDER
C0004238,Atrial fibrillation,SIDER
C0004604,Back pain,SIDER
C0006277,Bronchitis,SIDER
C0007222,Cardiovascular disorder,SIDER
C0008031,Chest pain,SIDER
C0009450,Infection,SIDER
C0009806,Constipation,SIDER
C0010200,Cough,SIDER
C0011570,Depression,SIDER
C0011991,Diarrhoea,SIDER
C0012833,Dizziness,SIDER
C0013378,Dysgeusia,SIDER
C0013395,Dyspepsia,SIDER
C0013404,Dyspnoea,SIDER
C0015230,Rash,SIDER
C0011603,Dermatitis,SIDER
C0015397,Eye disorder,SIDER
C0015967,Body temperature increased,SIDER
C0017152,Gastritis,SIDER
C0017178,Gastrointestinal disorder,SIDER
C0018681,Headache,SIDER
C0019080,Haemorrhage,SIDER
C0518015,Haemoglobin,SIDER
C0020437,Hypercalcaemia,SIDER
C0020461,Hyperkalaemia,SIDER
C0020517,Hypersensitivity,SIDER
C0020538,Hypertension,SIDER
C0020649,Hypotension,SIDER
C0021400,Influenza,SIDER
C0023218,Cramps of lower extremities,SIDER
C0037763,Muscle spasms,SIDER
C0025222,Melaena,SIDER
C0026826,Hypertonia,SIDER
C0027497,Nausea,SIDER
C0030193,Pain,SIDER
C0030252,Palpitations,SIDER
C0030517,Parathyroid disorder,SIDER
C0030554,Paraesthesia,SIDER
C0031350,Pharyngitis,SIDER
C0033774,Pruritus,SIDER
C0035078,Renal failure,SIDER
C0035455,Rhinitis,SIDER
C0036572,Convulsion,SIDER
C0037199,Sinusitis,SIDER
C0039231,Tachycardia,SIDER
C0042029,Urinary tract infection,SIDER
C0042373,Angiopathy,SIDER
C0042571,Vertigo,SIDER
C0042963,Vomiting,SIDER
C0043094,Weight increased,SIDER
C0043096,Weight decreased,SIDER
C0085595,Body odor,SIDER
C0234930,Skin odour abnormal,SIDER
