"Molecule ChEMBL ID","Target ChEMBL ID","best_affinity_nM","evidence_count"
"CHEMBL1567","CHEMBL1844",12,1
"CHEMBL1567","CHEMBL1913",2,1
"CHEMBL1567","CHEMBL279",80,1
"CHEMBL2408045","CHEMBL1824",3,2
"CHEMBL2408045","CHEMBL203",4,3
"CHEMBL2408045","CHEMBL5838",4,1
"CHEMBL275117","CHEMBL1913",17,1
"CHEMBL275117","CHEMBL203",20000,1
"CHEMBL275117","CHEMBL2116",88.5,1
"CHEMBL275117","CHEMBL279",50,1
"CHEMBL275117","CHEMBL3650",880,1
"CHEMBL275117","CHEMBL4045",246,1
"CHEMBL535","CHEMBL1075104",15,7
"CHEMBL535","CHEMBL1844",5,11
"CHEMBL535","CHEMBL1862",410,4
"CHEMBL535","CHEMBL1868",15,2
"CHEMBL535","CHEMBL1906",10000,1
"CHEMBL535","CHEMBL1913",2,19
"CHEMBL535","CHEMBL1936",0.7,18
"CHEMBL535","CHEMBL1940",79432.82,2
"CHEMBL535","CHEMBL1955",8.9,2
"CHEMBL535","CHEMBL1964",50118.72,1
"CHEMBL535","CHEMBL1974",0.7,34
"CHEMBL535","CHEMBL1980",15848.93,2
"CHEMBL535","CHEMBL1981",3200,1
"CHEMBL535","CHEMBL2007",6.9,4
"CHEMBL535","CHEMBL203",140,13
"CHEMBL535","CHEMBL2041",1,10
"CHEMBL535","CHEMBL2116",61.7,1
"CHEMBL535","CHEMBL2185",1500,1
"CHEMBL535","CHEMBL220",5870,1
"CHEMBL535","CHEMBL240",251.19,5
"CHEMBL535","CHEMBL2409",10000,1
"CHEMBL535","CHEMBL267",400,1
"CHEMBL535","CHEMBL279",0.4,48
"CHEMBL535","CHEMBL2793",1,1
"CHEMBL535","CHEMBL2842",50000,1
"CHEMBL535","CHEMBL2973",3700,1
"CHEMBL535","CHEMBL3024",10000,1
"CHEMBL535","CHEMBL3142",50000,1
"CHEMBL535","CHEMBL3234",190,1
"CHEMBL535","CHEMBL3650",2900,1
"CHEMBL535","CHEMBL3717",5000,1
"CHEMBL535","CHEMBL3830",45,3
"CHEMBL535","CHEMBL4045",158,1
"CHEMBL535","CHEMBL4247",2300,1
"CHEMBL535","CHEMBL4282",10000,1
"CHEMBL535","CHEMBL4462",122700,1
"CHEMBL535","CHEMBL4482",569.2,2
"CHEMBL535","CHEMBL4599",7830,1
"CHEMBL535","CHEMBL4895",9,2
"CHEMBL535","CHEMBL5147",50000,1
"CHEMBL535","CHEMBL5393",3000,1
"CHEMBL535","CHEMBL5404",1000,1
"CHEMBL535","CHEMBL5678",830,1
"CHEMBL535","CHEMBL5685",6100,1
"CHEMBL535","CHEMBL5784",48,1
"CHEMBL535","CHEMBL6020",45810,1
"CHEMBL5405436","CHEMBL1844",25,1
"CHEMBL5405436","CHEMBL1913",3.8,1
"CHEMBL5405436","CHEMBL1936",76.6,1
"CHEMBL5405436","CHEMBL1974",19.3,1
"CHEMBL5405436","CHEMBL203",5900,1
"CHEMBL5405436","CHEMBL279",100,1
"CHEMBL5405436","CHEMBL3650",2700,1
