pathway_id,pathway_name,database,url,scope
hsa04370,VEGF signaling pathway,KEGG,https://www.kegg.jp/pathway/hsa04370,angiogenesis_related
hsa04151,PI3K-Akt signaling pathway,KEGG,https://www.kegg.jp/pathway/hsa04151,angiogenesis_related
hsa04010,MAPK signaling pathway,KEGG,https://www.kegg.jp/pathway/hsa04010,angiogenesis_related
hsa04012,ErbB signaling pathway,KEGG,https://www.kegg.jp/pathway/hsa04012,angiogenesis_related
hsa04630,JAK-STAT signaling pathway,KEGG,https://www.kegg.jp/pathway/hsa04630,angiogenesis_related
hsa04662,B cell receptor signaling pathway,KEGG,https://www.kegg.jp/pathway/hsa04662,angiogenesis_related
hsa04360,Axon guidance,KEGG,https://www.kegg.jp/pathway/hsa04360,angiogenesis_related
hsa05200,Pathways in cancer,KEGG,https://www.kegg.jp/pathway/hsa05200,angiogenesis_related


