protein1,protein2,combined_score
9606.ENSP00000161559,9606.ENSP00000364898,567
9606.ENSP00000161559,9606.ENSP00000293379,468
9606.ENSP00000161559,9606.ENSP00000457421,520
9606.ENSP00000161559,9606.ENSP00000334928,415
9606.ENSP00000161559,9606.ENSP00000246006,425
9606.ENSP00000161559,9606.ENSP00000346839,698
9606.ENSP00000161559,9606.ENSP00000300060,461
9606.ENSP00000161559,9606.ENSP00000346032,673
9606.ENSP00000161559,9606.ENSP00000306512,611
9606.ENSP00000161559,9606.ENSP00000452786,606
9606.ENSP00000161559,9606.ENSP00000216037,402
9606.ENSP00000161559,9606.ENSP00000275493,561
9606.ENSP00000161559,9606.ENSP00000379350,473
9606.ENSP00000161559,9606.ENSP00000495360,481
9606.ENSP00000167106,9606.ENSP00000371347,432
9606.ENSP00000167106,9606.ENSP00000428340,402
9606.ENSP00000167106,9606.ENSP00000264498,581
9606.ENSP00000188790,9606.ENSP00000379350,522
9606.ENSP00000188790,9606.ENSP00000312652,405
9606.ENSP00000188790,9606.ENSP00000257290,423
9606.ENSP00000188790,9606.ENSP00000219070,523
9606.ENSP00000188790,9606.ENSP00000284240,641
9606.ENSP00000188790,9606.ENSP00000339191,489
9606.ENSP00000188790,9606.ENSP00000261799,522
9606.ENSP00000188790,9606.ENSP00000346839,705
9606.ENSP00000212015,9606.ENSP00000216037,483
9606.ENSP00000212015,9606.ENSP00000275493,498
9606.ENSP00000212015,9606.ENSP00000354558,937
9606.ENSP00000212015,9606.ENSP00000306512,482
9606.ENSP00000212015,9606.ENSP00000302486,416
9606.ENSP00000212015,9606.ENSP00000263734,690
9606.ENSP00000212015,9606.ENSP00000362057,458
9606.ENSP00000212015,9606.ENSP00000294339,419
9606.ENSP00000212015,9606.ENSP00000498587,542
9606.ENSP00000212015,9606.ENSP00000312652,624
9606.ENSP00000212015,9606.ENSP00000223095,457
9606.ENSP00000212015,9606.ENSP00000495360,902
9606.ENSP00000212015,9606.ENSP00000264498,411
9606.ENSP00000212015,9606.ENSP00000219070,449
9606.ENSP00000212015,9606.ENSP00000499900,465
9606.ENSP00000212015,9606.ENSP00000216117,733
9606.ENSP00000212015,9606.ENSP00000391800,614
9606.ENSP00000212015,9606.ENSP00000371067,436
9606.ENSP00000212015,9606.ENSP00000330393,404
9606.ENSP00000212015,9606.ENSP00000263967,480
9606.ENSP00000212015,9606.ENSP00000252804,639
9606.ENSP00000212015,9606.ENSP00000297494,841
9606.ENSP00000212015,9606.ENSP00000280357,475
9606.ENSP00000212015,9606.ENSP00000264664,595
9606.ENSP00000212015,9606.ENSP00000307235,472
9606.ENSP00000212015,9606.ENSP00000229795,437
9606.ENSP00000212015,9606.ENSP00000356954,425
9606.ENSP00000212015,9606.ENSP00000346839,434
9606.ENSP00000212015,9606.ENSP00000351273,447
9606.ENSP00000212015,9606.ENSP00000225831,575
9606.ENSP00000212015,9606.ENSP00000437955,927
9606.ENSP00000212015,9606.ENSP00000362680,454
9606.ENSP00000212015,9606.ENSP00000263923,524
9606.ENSP00000212015,9606.ENSP00000360266,927
