protein1,protein2,combined_score
9606.ENSP00000001008,9606.ENSP00000354558,961
9606.ENSP00000001008,9606.ENSP00000362680,543
9606.ENSP00000001146,9606.ENSP00000252804,444
9606.ENSP00000001146,9606.ENSP00000478561,688
9606.ENSP00000002165,9606.ENSP00000262041,448
9606.ENSP00000002165,9606.ENSP00000389176,411
9606.ENSP00000002596,9606.ENSP00000245451,580
9606.ENSP00000002596,9606.ENSP00000363827,640
9606.ENSP00000002596,9606.ENSP00000259241,754
9606.ENSP00000002829,9606.ENSP00000275815,457
9606.ENSP00000002829,9606.ENSP00000368314,750
9606.ENSP00000002829,9606.ENSP00000480043,456
9606.ENSP00000002829,9606.ENSP00000265371,999
9606.ENSP00000002829,9606.ENSP00000317128,732
9606.ENSP00000002829,9606.ENSP00000353582,999
9606.ENSP00000002829,9606.ENSP00000383053,591
9606.ENSP00000002829,9606.ENSP00000451040,490
9606.ENSP00000002829,9606.ENSP00000350896,522
9606.ENSP00000002829,9606.ENSP00000493716,477
9606.ENSP00000002829,9606.ENSP00000317272,422
9606.ENSP00000003084,9606.ENSP00000495360,581
9606.ENSP00000003084,9606.ENSP00000275493,408
9606.ENSP00000003084,9606.ENSP00000306512,536
9606.ENSP00000003084,9606.ENSP00000362680,416
9606.ENSP00000003084,9606.ENSP00000300060,406
9606.ENSP00000003084,9606.ENSP00000265074,518
9606.ENSP00000003084,9606.ENSP00000379287,917
9606.ENSP00000003100,9606.ENSP00000495360,501
9606.ENSP00000003100,9606.ENSP00000410294,479
9606.ENSP00000003302,9606.ENSP00000401642,510
9606.ENSP00000003302,9606.ENSP00000437955,482
9606.ENSP00000004982,9606.ENSP00000379287,701
9606.ENSP00000005178,9606.ENSP00000301455,739
9606.ENSP00000005178,9606.ENSP00000307900,416
9606.ENSP00000005178,9606.ENSP00000312652,434
9606.ENSP00000005178,9606.ENSP00000354558,408
9606.ENSP00000005178,9606.ENSP00000437955,506
9606.ENSP00000005178,9606.ENSP00000212015,528
9606.ENSP00000005257,9606.ENSP00000275493,524
9606.ENSP00000005257,9606.ENSP00000354558,438
9606.ENSP00000005257,9606.ENSP00000302486,489
9606.ENSP00000005257,9606.ENSP00000269571,437
9606.ENSP00000005257,9606.ENSP00000339191,515
9606.ENSP00000005257,9606.ENSP00000216181,570
9606.ENSP00000005257,9606.ENSP00000229795,592
9606.ENSP00000005257,9606.ENSP00000317272,409
9606.ENSP00000005257,9606.ENSP00000452634,431
9606.ENSP00000005257,9606.ENSP00000263967,405
9606.ENSP00000005257,9606.ENSP00000362680,874
9606.ENSP00000005257,9606.ENSP00000265171,647
9606.ENSP00000005260,9606.ENSP00000265171,429
9606.ENSP00000005260,9606.ENSP00000351209,483
9606.ENSP00000005260,9606.ENSP00000263967,474
9606.ENSP00000005260,9606.ENSP00000339191,451
9606.ENSP00000005260,9606.ENSP00000483313,761
9606.ENSP00000005260,9606.ENSP00000264036,400
9606.ENSP00000005260,9606.ENSP00000379350,400
9606.ENSP00000005284,9606.ENSP00000380638,565
9606.ENSP00000005340,9606.ENSP00000424765,677
9606.ENSP00000005340,9606.ENSP00000284274,665
9606.ENSP00000005340,9606.ENSP00000354607,964
9606.ENSP00000005340,9606.ENSP00000495360,930
9606.ENSP00000005340,9606.ENSP00000498587,931
9606.ENSP00000005340,9606.ENSP00000408695,494
9606.ENSP00000005340,9606.ENSP00000362057,499
9606.ENSP00000005340,9606.ENSP00000346671,529
9606.ENSP00000005340,9606.ENSP00000434034,985
9606.ENSP00000005340,9606.ENSP00000387739,700
9606.ENSP00000005340,9606.ENSP00000363826,937
9606.ENSP00000005340,9606.ENSP00000495811,647
9606.ENSP00000005340,9606.ENSP00000361027,708
9606.ENSP00000005340,9606.ENSP00000285018,514
9606.ENSP00000005340,9606.ENSP00000362680,577
9606.ENSP00000005340,9606.ENSP00000360266,417
9606.ENSP00000005386,9606.ENSP00000354558,547
9606.ENSP00000005587,9606.ENSP00000477713,767
9606.ENSP00000005587,9606.ENSP00000293379,900
9606.ENSP00000005587,9606.ENSP00000379350,914
9606.ENSP00000005587,9606.ENSP00000346671,896
9606.ENSP00000005587,9606.ENSP00000380638,547
9606.ENSP00000005587,9606.ENSP00000355361,576
9606.ENSP00000005587,9606.ENSP00000341189,457
9606.ENSP00000005587,9606.ENSP00000362680,640
9606.ENSP00000005587,9606.ENSP00000428924,781
9606.ENSP00000006015,9606.ENSP00000242159,605
9606.ENSP00000006015,9606.ENSP00000484411,501
9606.ENSP00000006015,9606.ENSP00000294339,490
9606.ENSP00000006015,9606.ENSP00000272369,506
9606.ENSP00000006015,9606.ENSP00000219070,524
9606.ENSP00000006015,9606.ENSP00000495986,422
9606.ENSP00000006015,9606.ENSP00000285018,409
9606.ENSP00000006053,9606.ENSP00000362095,596
9606.ENSP00000006053,9606.ENSP00000452786,658
9606.ENSP00000006053,9606.ENSP00000306512,845
9606.ENSP00000006053,9606.ENSP00000379350,441
9606.ENSP00000006053,9606.ENSP00000312652,411
9606.ENSP00000006053,9606.ENSP00000264498,971
9606.ENSP00000006053,9606.ENSP00000355361,464
9606.ENSP00000006053,9606.ENSP00000404131,710
9606.ENSP00000006053,9606.ENSP00000364898,406
9606.ENSP00000006053,9606.ENSP00000280357,580
9606.ENSP00000006053,9606.ENSP00000362795,990
9606.ENSP00000006053,9606.ENSP00000457421,655
9606.ENSP00000006053,9606.ENSP00000225831,831
9606.ENSP00000006053,9606.ENSP00000272928,652
9606.ENSP00000006053,9606.ENSP00000346839,562
9606.ENSP00000006053,9606.ENSP00000265171,961
9606.ENSP00000006053,9606.ENSP00000362680,661
9606.ENSP00000006053,9606.ENSP00000360266,535
9606.ENSP00000008527,9606.ENSP00000408695,456
9606.ENSP00000008527,9606.ENSP00000312652,403
