compound_id,gp_id,source
CHEMBL535,P09619,ChEMBL
CHEMBL535,P11362,ChEMBL
CHEMBL535,P17948,ChEMBL
CHEMBL535,P42336,ChEMBL
CHEMBL535,P35916,ChEMBL
CHEMBL535,P48736,ChEMBL
CHEMBL535,P54760,ChEMBL
CHEMBL1336,P35968,ChEMBL
CHEMBL1336,P09619,ChEMBL
CHEMBL477772,P35968,ChEMBL
CHEMBL477772,P09619,ChEMBL
CHEMBL1289926,P35968,ChEMBL
CHEMBL1289926,P09619,ChEMBL
CHEMBL1946170,P35968,ChEMBL
CHEMBL1946170,P09619,ChEMBL
CHEMBL1289601,P35968,ChEMBL
CHEMBL1289601,P09619,ChEMBL
CHEMBL2105717,P35968,ChEMBL
CHEMBL2105717,P09619,ChEMBL
