adr_id,compound_id,source
C0000729,CHEMBL535,SIDER
C0000737,CHEMBL535,SIDER
C0687713,CHEMBL535,SIDER
C0002418,CHEMBL535,SIDER
C0002871,CHEMBL535,SIDER
C0003123,CHEMBL535,SIDER
C0232462,CHEMBL535,SIDER
C0003467,CHEMBL535,SIDER
C0003811,CHEMBL535,SIDER
C0004093,CHEMBL535,SIDER
C0004238,CHEMBL535,SIDER
C0004604,CHEMBL535,SIDER
C0006277,CHEMBL535,SIDER
C0007222,CHEMBL535,SIDER
C0008031,CHEMBL535,SIDER
C0009450,CHEMBL535,SIDER
C0009806,CHEMBL535,SIDER
C0010200,CHEMBL535,SIDER
C0011570,CHEMBL535,SIDER
C0011991,CHEMBL535,SIDER
C0012833,CHEMBL535,SIDER
C0013378,CHEMBL535,SIDER
C0013395,CHEMBL535,SIDER
C0013404,CHEMBL535,SIDER
C0015230,CHEMBL535,SIDER
C0011603,CHEMBL535,SIDER
C0015397,CHEMBL535,SIDER
C0015967,CHEMBL535,SIDER
C0017152,CHEMBL535,SIDER
C0017178,CHEMBL535,SIDER
C0018681,CHEMBL535,SIDER
C0019080,CHEMBL535,SIDER
C0518015,CHEMBL535,SIDER
C0020437,CHEMBL535,SIDER
C0020461,CHEMBL535,SIDER
C0020517,CHEMBL535,SIDER
C0020538,CHEMBL535,SIDER
C0020649,CHEMBL535,SIDER
C0021400,CHEMBL535,SIDER
C0023218,CHEMBL535,SIDER
C0037763,CHEMBL535,SIDER
C0025222,CHEMBL535,SIDER
C0026826,CHEMBL535,SIDER
C0027497,CHEMBL535,SIDER
C0030193,CHEMBL535,SIDER
C0030252,CHEMBL535,SIDER
C0030517,CHEMBL535,SIDER
C0030554,CHEMBL535,SIDER
C0031350,CHEMBL535,SIDER
C0033774,CHEMBL535,SIDER
C0035078,CHEMBL535,SIDER
C0035455,CHEMBL535,SIDER
C0036572,CHEMBL535,SIDER
C0037199,CHEMBL535,SIDER
C0039231,CHEMBL535,SIDER
C0042029,CHEMBL535,SIDER
C0042373,CHEMBL535,SIDER
C0042571,CHEMBL535,SIDER
C0042963,CHEMBL535,SIDER
C0043094,CHEMBL535,SIDER
C0043096,CHEMBL535,SIDER
C0085595,CHEMBL535,SIDER
C0234930,CHEMBL535,SIDER
C0085649,CHEMBL535,SIDER
C0151735,CHEMBL535,SIDER
C0151736,CHEMBL535,SIDER
C3263723,CHEMBL535,SIDER
C0152020,CHEMBL535,SIDER
C0522063,CHEMBL535,SIDER
C0231528,CHEMBL535,SIDER
C0948594,CHEMBL535,SIDER
C0426576,CHEMBL535,SIDER
C0522055,CHEMBL535,SIDER
C0546817,CHEMBL535,SIDER
C0917801,CHEMBL535,SIDER
