gene_symbol,bp_id
KDR,GO:0001525
FLT1,GO:0001525
FLT4,GO:0001525
EPHB4,GO:0001525
EGFR,GO:0001525
ERBB2,GO:0001525
FGFR1,GO:0001525
MET,GO:0001525
PDGFRA,GO:0001525
PDGFRB,GO:0001525
PIK3CA,GO:0001525
PIK3CG,GO:0001525
SRC,GO:0001525
FYN,GO:0001525
LYN,GO:0001525
MTOR,GO:0001525
KIT,GO:0001525
ABL1,GO:0001525
EGFR,GO:0001935
ERBB2,GO:0001935
FGFR1,GO:0001935
MET,GO:0001935
PDGFRA,GO:0001935
PDGFRB,GO:0001935
KDR,GO:0001935
PIK3CA,GO:0001935
PIK3CG,GO:0001935
MTOR,GO:0001935
MAP2K1,GO:0001935
MAP2K2,GO:0001935
SRC,GO:0043542
FYN,GO:0043542
LYN,GO:0043542
EPHB4,GO:0043542
KDR,GO:0043542
FLT1,GO:0043542
PDGFRB,GO:0043542
MET,GO:0043542
ABL1,GO:0043542
KDR,GO:0001944
FLT1,GO:0001944
FLT4,GO:0001944
EPHB4,GO:0001944
FGFR1,GO:0001944
PDGFRA,GO:0001944
PDGFRB,GO:0001944
KDR,GO:0048514
FLT1,GO:0048514
FLT4,GO:0048514
EPHB4,GO:0048514
FGFR1,GO:0048514
KDR,GO:0045765
FLT1,GO:0045765
FLT4,GO:0045765
EGFR,GO:0045765
FGFR1,GO:0045765
MET,GO:0045765
PDGFRA,GO:0045765
PDGFRB,GO:0045765
PIK3CA,GO:0045765
SRC,GO:0045765
MTOR,GO:0045765
KDR,GO:0045766
FLT1,GO:0045766
FGFR1,GO:0045766
EGFR,GO:0045766
MET,GO:0045766
PDGFRB,GO:0045766
PIK3CA,GO:0045766
SRC,GO:0045766
KDR,GO:0001568
FLT1,GO:0001568
FLT4,GO:0001568
EPHB4,GO:0001568
FGFR1,GO:0001568
PDGFRA,GO:0001568
PDGFRB,GO:0001568
MET,GO:0001568
EGFR,GO:0001936
ERBB2,GO:0001936
FGFR1,GO:0001936
MET,GO:0001936
PDGFRA,GO:0001936
PDGFRB,GO:0001936
MAP2K1,GO:0001936
MAP2K2,GO:0001936
MTOR,GO:0001936
SRC,GO:0010594
FYN,GO:0010594
LYN,GO:0010594
KDR,GO:0010594
MET,GO:0010594
EPHB4,GO:0010594
FLT1,GO:0010594
ABL1,GO:0010594
