gp_id,gene_symbol,pathway_id,pathway_name,source
P35968,KDR,hsa04370,VEGF Signaling Pathway,KEGG
Q02750,MP2K1,hsa04370,VEGF Signaling Pathway,KEGG
P36507,MP2K2,hsa04370,VEGF Signaling Pathway,KEGG
P42336,PIK3CA,hsa04370,VEGF Signaling Pathway,KEGG
P12931,SRC,hsa04370,VEGF Signaling Pathway,KEGG
P00533,EGFR,hsa04151,PI3K-Akt signaling,KEGG
P04626,ERBB2,hsa04151,PI3K-Akt signaling,KEGG
P11362,FGFR1,hsa04151,PI3K-Akt signaling,KEGG
P17948,FLT1,hsa04151,PI3K-Akt signaling,KEGG
P35916,FLT4,hsa04151,PI3K-Akt signaling,KEGG
P23458,JAK1,hsa04151,PI3K-Akt signaling,KEGG
O60674,JAK2,hsa04151,PI3K-Akt signaling,KEGG
P52333,JAK3,hsa04151,PI3K-Akt signaling,KEGG
P35968,KDR,hsa04151,PI3K-Akt signaling,KEGG
P10721,KIT,hsa04151,PI3K-Akt signaling,KEGG
P21583,KITLG,hsa04151,PI3K-Akt signaling,KEGG
Q02750,MAP2K1,hsa04151,PI3K-Akt signaling,KEGG
P36507,MAP2K2,hsa04151,PI3K-Akt signaling,KEGG
P08581,MET,hsa04151,PI3K-Akt signaling,KEGG
P42345,MTOR,hsa04151,PI3K-Akt signaling,KEGG
P16234,PDGFRA,hsa04151,PI3K-Akt signaling,KEGG
P09619,PDGFRB,hsa04151,PI3K-Akt signaling,KEGG
P42336,PIK3CA,hsa04151,PI3K-Akt signaling,KEGG
P48736,PIK3CG,hsa04151,PI3K-Akt signaling,KEGG
P00533,EGFR,hsa04010,MAPK Signaling,KEGG
P04626,ERBB2,hsa04010,MAPK Signaling,KEGG
P11362,FGFR1,hsa04010,MAPK Signaling,KEGG
P17948,FLT1,hsa04010,MAPK Signaling,KEGG
P35916,FLT4,hsa04010,MAPK Signaling,KEGG
P35968,KDR,hsa04010,MAPK Signaling,KEGG
P10721,KIT,hsa04010,MAPK Signaling,KEGG
P21583,KITLG,hsa04010,MAPK Signaling,KEGG
Q02750,MAP2K1,hsa04010,MAPK Signaling,KEGG
P36507,MAP2K2,hsa04010,MAPK Signaling,KEGG
P08581,MET,hsa04010,MAPK Signaling,KEGG
P12634,PDGFRA,hsa04010,MAPK Signaling,KEGG
P09619,PDGFRB,hsa04010,MAPK Signaling,KEGG
P00519,ABL1,hsa04012,ErbB signaling pathway,KEGG
P00533,EGFR,hsa04012,ErbB signaling pathway,KEGG
P04626,ERBB2,hsa04012,ErbB signaling pathway,KEGG
Q02750,MAP2K1,hsa04012,ErbB signaling pathway,KEGG
P36507,MAP2K2,hsa04012,ErbB signaling pathway,KEGG
P42345,MTOR,hsa04012,ErbB signaling pathway,KEGG
P42336,PIK3CA,hsa04012,ErbB signaling pathway,KEGG
P12931,SRC,hsa04012,ErbB signaling pathway,KEGG
P00533,EGFR,hsa04630,JAK-STAT signaling pathway,KEGG
P23458,JAK1,hsa04630,JAK-STAT signaling pathway,KEGG
O60674,JAK2,hsa04630,JAK-STAT signaling pathway,KEGG
P52333,JAK3,hsa04630,JAK-STAT signaling pathway,KEGG
P42345,MTOR,hsa04630,JAK-STAT signaling pathway,KEGG
P12634,PDGFRA,hsa04630,JAK-STAT signaling pathway,KEGG
P09619,PDGFRB,hsa04630,JAK-STAT signaling pathway,KEGG
P42336,PIK3CA,hsa04630,JAK-STAT signaling pathway,KEGG
