gp_id,symbol,name,uniprot_id,source
P57078,RIPK4,Receptor-interacting serine/threonine-protein kinase 4 (EC 2.7.11.1) (Ankyrin repeat domain-containing protein 3) (PKC-delta-interacting protein kinase),P57078,ChEMBL;UniProt
P30291,WEE1,Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase),P30291,ChEMBL;UniProt
Q96NX5,CAMK1G,Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III),Q96NX5,ChEMBL;UniProt
P06241,FYN,Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn),P06241,ChEMBL;UniProt
P17252,PRKCA,Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),P17252,ChEMBL;UniProt
P53779,MAPK10,Mitogen-activated protein kinase 10 (MAP kinase 10) (MAPK 10) (EC 2.7.11.24) (MAP kinase p49 3F12) (Stress-activated protein kinase 1b) (SAPK1b) (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3),P53779,ChEMBL;UniProt
Q15375,EPHA7,Ephrin type-A receptor 7 (EC 2.7.10.1) (EPH homology kinase 3) (EHK-3) (EPH-like kinase 11) (EK11) (hEK11),Q15375,ChEMBL;UniProt
Q14289,PTK2B,Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK),Q14289,ChEMBL;UniProt
P49674,CSNK1E,Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1),P49674,ChEMBL;UniProt
Q02763,TEK,Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b),Q02763,ChEMBL;UniProt
P36888,FLT3,Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135),P36888,ChEMBL;UniProt
P53671,LIMK2,LIM domain kinase 2 (LIMK-2) (EC 2.7.11.1),P53671,ChEMBL;UniProt
P14616,INSRR,Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain],P14616,ChEMBL;UniProt
P42684,ABL2,Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG),P42684,ChEMBL;UniProt
