#queryIndex,queryItem,stringId,preferredName,annotation
3,MEIS1,9606.ENSP00000272369,MEIS1,"Homeobox protein Meis1; Acts as a transcriptional regulator of PAX6. Acts as a transcriptional activator of PF4 in complex with PBX1 or PBX2. Required for hematopoiesis, megakaryocyte lineage development and vascular patterning. May function as a cofactor for HOXA7 and HOXA9 in the induction of myeloid leukemias."
4,KRIT1,9606.ENSP00000378015,KRIT1,"Krev interaction trapped protein 1; Component of the CCM signaling pathway which is a crucial regulator of heart and vessel formation and integrity (By similarity). Negative regulator of angiogenesis. Inhibits endothelial proliferation, apoptosis, migration, lumen formation and sprouting angiogenesis in primary endothelial cells. Promotes AKT phosphorylation in a NOTCH- dependent and independent manner, and inhibits ERK1/2 phosphorylation indirectly through activation of the DELTA-NOTCH cascade. Acts in concert with CDH5 to establish and maintain correct endothelial cell polarity and v [...] "
5,WNT7A,9606.ENSP00000285018,WNT7A,"Protein Wnt-7a; Ligand for members of the frizzled family of seven transmembrane receptors that functions in the canonical Wnt/beta- catenin signaling pathway (By similarity). Plays an important role in embryonic development, including dorsal versus ventral patterning during limb development, skeleton development and urogenital tract development. Required for central nervous system (CNS) angiogenesis and blood-brain barrier regulation. Required for normal, sexually dimorphic development of the Mullerian ducts, and for normal fertility in both sexes (By similarity). Required for normal  [...] "
6,ITGB1BP1,9606.ENSP00000353850,ITGB1BP1,"Integrin beta-1-binding protein 1; Key regulator of the integrin-mediated cell-matrix interaction signaling by binding to the ITGB1 cytoplasmic tail and preventing the activation of integrin alpha-5/beta-1 (heterodimer of ITGA5 and ITGB1) by talin or FERMT1. Plays a role in cell proliferation, differentiation, spreading, adhesion and migration in the context of mineralization and bone development and angiogenesis. Stimulates cellular proliferation in a fibronectin-dependent manner. Involved in the regulation of beta-1 integrin-containing focal adhesion (FA) site dynamics by controlling [...] "
7,NRP1,9606.ENSP00000265371,NRP1,"Neuropilin-1; Receptor involved in the development of the cardiovascular system, in angiogenesis, in the formation of certain neuronal circuits and in organogenesis outside the nervous system. It mediates the chemorepulsant activity of semaphorins. It binds to semaphorin 3A, The PLGF-2 isoform of PGF, The VEGF165 isoform of VEGFA and VEGFB. Coexpression with KDR results in increased VEGF165 binding to KDR as well as increased chemotaxis. Regulates VEGF-induced angiogenesis. Binding to VEGFA initiates a signaling pathway needed for motor neuron axon guidance and cell body migration, inc [...] "
8,EREG,9606.ENSP00000244869,EREG,"Proepiregulin; Ligand of the EGF receptor/EGFR and ERBB4. Stimulates EGFR and ERBB4 tyrosine phosphorylation. Contributes to inflammation, wound healing, tissue repair, and oocyte maturation by regulating angiogenesis and vascular remodeling and by stimulating cell proliferation."
9,SEMA3E,9606.ENSP00000496491,SEMA3E,"Semaphorin-3E; Plays an important role in signaling via the cell surface receptor PLXND1. Mediates reorganization of the actin cytoskeleton, leading to the retraction of cell projections. Promotes focal adhesion disassembly and inhibits adhesion of endothelial cells to the extracellular matrix. Regulates angiogenesis, both during embryogenesis and after birth. Can down-regulate sprouting angiogenesis. Required for normal vascular patterning during embryogenesis. Plays an important role in ensuring the specificity of synapse formation (By similarity)."
10,ANGPT2,9606.ENSP00000314897,ANGPT2,"Angiopoietin-2; Binds to TEK/TIE2, competing for the ANGPT1 binding site, and modulating ANGPT1 signaling. Can induce tyrosine phosphorylation of TEK/TIE2 in the absence of ANGPT1. In the absence of angiogenic inducers, such as VEGF, ANGPT2-mediated loosening of cell-matrix contacts may induce endothelial cell apoptosis with consequent vascular regression. In concert with VEGF, it may facilitate endothelial cell migration and proliferation, thus serving as a permissive angiogenic signal."
11,SLC31A1,9606.ENSP00000363329,SLC31A1,"High affinity copper uptake protein 1; High-affinity, saturable copper transporter involved in dietary copper uptake."
12,FGF10,9606.ENSP00000264664,FGF10,"Fibroblast growth factor 10; Plays an important role in the regulation of embryonic development, cell proliferation and cell differentiation. Required for normal branching morphogenesis. May play a role in wound healing. Belongs to the heparin-binding growth factors family."
13,HOXA3,9606.ENSP00000484411,HOXA3,Homeobox protein Hox-A3; Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis.
14,TBX1,9606.ENSP00000331791,TBX1,T-box transcription factor TBX1; Probable transcriptional regulator involved in developmental processes. Is required for normal development of the pharyngeal arch arteries (By similarity).
15,TNFSF12,9606.ENSP00000293825,TNFSF12,"Tumor necrosis factor ligand superfamily member 12, membrane form; Binds to FN14 and possibly also to TNRFSF12/APO3. Weak inducer of apoptosis in some cell types. Mediates NF-kappa-B activation. Promotes angiogenesis and the proliferation of endothelial cells. Also involved in induction of inflammatory cytokines. Promotes IL8 secretion; Belongs to the tumor necrosis factor family."
16,VEGFD,9606.ENSP00000297904,VEGFD,"Vascular endothelial growth factor D; Growth factor active in angiogenesis, lymphangiogenesis and endothelial cell growth, stimulating their proliferation and migration and also has effects on the permeability of blood vessels. May function in the formation of the venous and lymphatic vascular systems during embryogenesis, and also in the maintenance of differentiated lymphatic endothelium in adults. Binds and activates VEGFR-2 (KDR/FLK1) and VEGFR-3 (FLT4) receptors."
17,HS6ST1,9606.ENSP00000259241,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1; 6-O-sulfation enzyme which catalyzes the transfer of sulfate from 3'-phosphoadenosine 5'-phosphosulfate (PAPS) to position 6 of the N-sulfoglucosamine residue (GlcNS) of heparan sulfate. Critical for normal neuronal development where it may play a role in neuron branching. May also play a role in limb development. May prefer iduronic acid.
18,NRP2,9606.ENSP00000353582,NRP2,"Neuropilin-2; High affinity receptor for semaphorins 3C, 3F, VEGF-165 and VEGF-145 isoforms of VEGF, and the PLGF-2 isoform of PGF."
19,JAK2,9606.ENSP00000371067,JAK2,"Tyrosine-protein kinase JAK2; Non-receptor tyrosine kinase involved in various processes such as cell growth, development, differentiation or histone modifications. Mediates essential signaling events in both innate and adaptive immunity. In the cytoplasm, plays a pivotal role in signal transduction via its association with type I receptors such as growth hormone (GHR), prolactin (PRLR), leptin (LEPR), erythropoietin (EPOR), thrombopoietin (THPO); or type II receptors including IFN-alpha, IFN- beta, IFN-gamma and multiple interleukins. Following ligand-binding to cell surface receptors [...] "
20,GREM1,9606.ENSP00000498748,GREM1,"Gremlin-1; Cytokine that may play an important role during carcinogenesis and metanephric kidney organogenesis, as a BMP antagonist required for early limb outgrowth and patterning in maintaining the FGF4-SHH feedback loop. Down-regulates the BMP4 signaling in a dose-dependent manner (By similarity). Antagonist of BMP2; inhibits BMP2-mediated differentiation of osteoblasts (in vitro). Acts as inhibitor of monocyte chemotaxis. Can inhibit the growth or viability of normal cells but not transformed cells when is overexpressed (By similarity). Belongs to the DAN family."
